ID,image_name,time,place,temperature,humidity,sun_light,soil_moist,API_health,API_water,API_water_def,validation,soil_validation
103,2025-07-17T12:15:26_Uni.jpg,2025-07-17T12:15:26,Uni,28.5,39.8,59658.0,0.0,62.2,13.1,0,yes,A
104,2025-07-17T12:15:47_Uni.jpg,2025-07-17T12:15:47,Uni,28.5,40.0,59658.0,0.0,52.4,12.5,0,yes,A
105,2025-07-17T12:16:38_Uni.jpg,2025-07-17T12:16:38,Uni,28.7,39.6,59658.0,0.0,69.3,5.9,0,yes,A
106,2025-07-17T12:17:01_Uni.jpg,2025-07-17T12:17:01,Uni,28.9,39.2,59658.0,0.0,64.6,0,0,yes,A
107,2025-07-17T12:17:42_Uni.jpg,2025-07-17T12:17:42,Uni,29.1,38.3,91744.0,0.0,80.5,0,0,yes,A
108,2025-07-17T12:18:10_Uni.jpg,2025-07-17T12:18:10,Uni,29.4,39.1,91744.0,0.0,76.1,0,0,yes,A
109,2025-07-17T12:18:35_Uni.jpg,2025-07-17T12:18:35,Uni,29.5,37.9,91744.0,0.0,78.8,5.1,0,yes,A
110,2025-07-17T12:19:33_Uni.jpg,2025-07-17T12:19:33,Uni,29.8,34.8,91744.0,0.0,85.7,0,0,yes,A
111,2025-07-17T12:19:55_Uni.jpg,2025-07-17T12:19:55,Uni,29.8,35.6,91744.0,0.0,39.4,20.5,8.3,yes,A
112,2025-07-17T12:20:37_Uni.jpg,2025-07-17T12:20:37,Uni,29.9,37.6,91744.0,0.0,81.7,20.7,9.4,yes,A
113,2025-07-17T12:21:05_Uni.jpg,2025-07-17T12:21:05,Uni,30.0,35.5,91744.0,0.0,44.3,15.6,0,yes,A
114,2025-07-17T12:21:44_Uni.jpg,2025-07-17T12:21:44,Uni,30.2,37.4,91744.0,0.88,77.9,6.4,0,yes,A
115,2025-07-17T12:22:53_Uni.jpg,2025-07-17T12:22:53,Uni,30.1,35.9,91744.0,0.0,98.1,3.0,1.6,yes,A
116,2025-07-17T12:23:35_Uni.jpg,2025-07-17T12:23:35,Uni,30.1,37.4,91744.0,0.0,94.8,0,0,yes,A
117,2025-07-17T12:24:03_Uni.jpg,2025-07-17T12:24:03,Uni,30.1,36.8,91744.0,0.0,53.8,15.4,0,yes,A
118,2025-07-17T12:25:02_Uni.jpg,2025-07-17T12:25:02,Uni,30.2,37.8,91744.0,2.83,86.5,7.7,0,yes,A
119,2025-07-17T12:25:55_Uni.jpg,2025-07-17T12:25:55,Uni,30.5,36.8,102480.0,11.63,79.1,11.7,5.8,yes,A
120,2025-07-17T12:27:18_Uni.jpg,2025-07-17T12:27:18,Uni,30.9,35.5,102480.0,63.25,97.8,1.7,0,yes,B
121,2025-07-17T12:28:12_Uni.jpg,2025-07-17T12:28:12,Uni,31.1,38.5,102480.0,0.0,84.0,3.9,0,yes,A
122,2025-07-17T12:28:49_Uni.jpg,2025-07-17T12:28:49,Uni,31.0,35.9,102480.0,31.67,69.7,5.3,0,yes,B
123,2025-07-17T12:29:24_Uni.jpg,2025-07-17T12:29:24,Uni,30.6,36.6,102480.0,0.0,95.5,5.7,0,yes,A
124,2025-07-17T12:29:44_Uni.jpg,2025-07-17T12:29:44,Uni,30.5,35.4,102480.0,3.52,79.1,7.2,0,yes,A
125,2025-07-17T12:30:17_Uni.jpg,2025-07-17T12:30:17,Uni,30.5,36.2,102480.0,13.0,91.5,7.2,0,yes,A
126,2025-07-17T12:30:41_Uni.jpg,2025-07-17T12:30:41,Uni,30.6,36.2,102480.0,41.54,80.3,6.1,0,yes,B
